AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,SexuponOutcome1,AgeuponOutcome,Breed,Breed1,Breed2,year,month,date,Color,Color1,Color2
A674913,,2014-03-25 18:15:00,Adoption,,Dog,Spayed,Female,3 years,German Shepherd,Great Pyrenees,,2014,3,25,White,,
A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,,Cat,Intact,Female,1 year,Domestic Shorthair Mix,,,2015,8,18,Black,,
A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,,Dog,Spayed,Female,4 years,Yorkshire Terrier Mix,,,2013,12,28,Blue,Tan,
A709371,Abby,2015-08-19 14:28:00,Transfer,Partner,Dog,Spayed,Female,2 years,Cardigan Welsh Corgi,Chihuahua Shorthair,,2015,8,19,Tan,,
A681410,Nym,2014-06-22 17:22:00,Adoption,,Cat,Spayed,Female,3 months,Domestic Longhair,,,2014,6,22,Brown Tabby,,
A675021,,2014-03-21 17:09:00,Euthanasia,Suffering,Cat,Intact,Female,1 year,Domestic Shorthair Mix,,,2014,3,21,Calico,,
A704179,Zeus,2015-06-07 16:07:00,Adoption,,Dog,Neutered,Male,2 months,Chow Chow,Pit Bull,,2015,6,7,Black,,
A717839,,2015-12-20 19:38:00,Transfer,SCRP,Cat,Spayed,Female,2 years,Domestic Shorthair Mix,,,2015,12,20,Black,White,
A700740,Charlie,2015-12-17 12:10:00,Adoption,Foster,Dog,Neutered,Male,1 year,Chihuahua Shorthair,,,2015,12,17,White,,
A712376,,2015-09-22 12:10:00,Euthanasia,Suffering,Cat,Unknown,,2 weeks,Domestic Shorthair Mix,,,2015,9,22,Blue Tabby,,
A703952,Taco,2015-05-30 18:56:00,Transfer,Partner,Cat,Unknown,,4 weeks,Siamese Mix,,,2015,5,30,Seal Point,,
A713690,,2015-10-12 09:00:00,Transfer,SCRP,Cat,Intact,Male,2 years,Domestic Shorthair Mix,,,2015,10,12,Blue Tabby,,
A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Suffering,Dog,Neutered,Male,12 years,Pit Bull Mix,,,2015,2,9,Brown Brindle,,
A687789,,2014-09-14 18:51:00,Adoption,,Dog,Neutered,Male,1 year,Dachshund,Beagle,,2014,9,14,Brown,White,
A704754,Arthur,2015-07-18 15:37:00,Adoption,Foster,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2015,7,18,Black,,
A707531,,2015-07-14 15:04:00,Transfer,Partner,Cat,Intact,Male,2 weeks,Domestic Shorthair Mix,,,2015,7,14,Black,,
A677594,,2014-04-26 18:00:00,Transfer,Partner,Dog,Intact,Female,3 months,Labrador Retriever Mix,,,2014,4,26,Black,White,
A667155,,2013-11-18 15:56:00,Adoption,,Cat,Spayed,Female,3 months,Domestic Medium Hair Mix,,,2013,11,18,Calico,,
A717147,Freeway,2015-12-15 14:16:00,Adoption,,Dog,Neutered,Male,5 months,Plott Hound Mix,,,2015,12,15,Brown Brindle,White,
A687012,Chloe,2016-02-07 14:54:00,Adoption,,Dog,Spayed,Female,3 years,Boxer,Great Dane,,2016,2,7,Black,,
A676200,Georgia,2014-04-10 11:49:00,Transfer,Partner,Dog,Spayed,Female,7 years,Lhasa Apso,,,2014,4,10,White,Black,
A676680,Hero,2015-02-06 18:56:00,Euthanasia,Aggressive,Dog,Spayed,Female,2 years,German Shepherd Mix,,,2015,2,6,Black,Tan,
A688443,Thelma,2014-12-29 15:11:00,Adoption,Foster,Cat,Spayed,Female,4 months,Domestic Shorthair Mix,,,2014,12,29,Black,,
A715261,Darcy,2015-11-15 14:06:00,Adoption,,Dog,Spayed,Female,9 years,Beagle,Treeing Walker Coonhound,,2015,11,15,White,Brown,
A717008,Taz,2015-12-06 15:12:00,Transfer,Partner,Dog,Neutered,Male,7 months,Border Collie Mix,,,2015,12,6,Black,White,
A683416,,2014-07-14 19:28:00,Adoption,,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2014,7,14,Black,White,
A690658,,2014-10-24 09:00:00,Transfer,SCRP,Cat,Intact,Male,3 years,Domestic Shorthair Mix,,,2014,10,24,Black,White,
A695155,,2015-01-14 16:18:00,Adoption,,Dog,Neutered,Male,3 years,Border Terrier Mix,,,2015,1,14,Gray,,
A679721,Poppy,2014-05-29 17:43:00,Adoption,,Dog,Neutered,Male,5 years,Chihuahua Shorthair Mix,,,2014,5,29,Tan,White,
A719113,Dexter,2016-01-28 12:05:00,Transfer,Partner,Dog,Neutered,Male,5 years,Boxer Mix,,,2016,1,28,Brown Brindle,White,
A665298,,2013-10-16 11:50:00,Transfer,Partner,Cat,Intact,Female,2 weeks,Domestic Medium Hair Mix,,,2013,10,16,Blue,,
A708351,,2015-07-26 14:40:00,Transfer,Partner,Cat,Unknown,,2 weeks,Domestic Shorthair Mix,,,2015,7,26,Black,,
A670681,Matty,2014-01-30 14:41:00,Transfer,Partner,Cat,Spayed,Female,4 years,Domestic Shorthair Mix,,,2014,1,30,Torbie,,
A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,,Dog,Neutered,Male,4 years,Cairn Terrier Mix,,,2015,4,8,Tan,White,
A707767,Lilly,2015-07-19 18:27:00,Adoption,,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2015,7,19,Brown Tabby,,
A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,,Dog,Spayed,Female,2 years,Chihuahua Shorthair Mix,,,2013,12,20,Black,Tan,
A674577,Santiago,2014-03-23 18:43:00,Adoption,,Dog,Neutered,Male,2 years,Dogo Argentino Mix,,,2014,3,23,White,,
A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,,Dog,Neutered,Male,9 years,Dachshund Mix,,,2014,3,29,Black,Brown,
A672410,Myles,2014-02-11 18:16:00,Return_to_owner,,Dog,Neutered,Male,5 years,Beagle Mix,,,2014,2,11,Tricolor,,
A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Aggressive,Dog,Neutered,Male,1 year,Chihuahua Shorthair,Dachshund,,2013,12,6,Yellow Brindle,White,
A663339,Abby,2013-10-20 16:37:00,Adoption,,Dog,Spayed,Female,2 years,Pit Bull Mix,,,2013,10,20,Fawn,White,
A678229,,2014-05-06 15:59:00,Transfer,Partner,Cat,Intact,Male,3 weeks,Domestic Shorthair Mix,,,2014,5,6,Brown Tabby,,
A698694,Boss,2015-07-06 15:48:00,Transfer,Partner,Dog,Intact,Male,5 months,Pit Bull Mix,,,2015,7,6,White,Brown,
A695971,,2015-01-26 16:23:00,Euthanasia,Suffering,Cat,Intact,Male,6 years,Domestic Shorthair Mix,,,2015,1,26,Orange Tabby,,
A674233,Missy,2014-03-22 15:38:00,Adoption,,Dog,Spayed,Female,1 year,Chihuahua Shorthair Mix,,,2014,3,22,Tan,,
A713392,Basil,2015-11-05 00:00:00,Transfer,Partner,Dog,Intact,Male,3 months,Chihuahua Shorthair Mix,,,2015,11,5,Black,White,
A713968,Katydid,2015-10-24 18:29:00,Transfer,Partner,Cat,Intact,Female,1 month,Domestic Longhair Mix,,,2015,10,24,Calico,,
A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,,Dog,Spayed,Female,3 years,Chihuahua Shorthair Mix,,,2015,5,3,Brown,,
A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,,Dog,Neutered,Male,5 years,Dachshund Mix,,,2014,4,14,Black,,
A679259,Pablo,2014-05-26 11:22:00,Adoption,,Dog,Neutered,Male,8 years,Miniature Schnauzer,Miniature Poodle,,2014,5,26,Black,,
A688223,,2014-09-21 14:15:00,Adoption,Offsite,Dog,Spayed,Female,2 months,Labrador Retriever Mix,,,2014,9,21,Black,White,
A691968,,2014-11-14 11:57:00,Euthanasia,Suffering,Cat,Intact,Female,7 years,Domestic Shorthair Mix,,,2014,11,14,Tortie,,
A688871,Pandora,2014-10-03 18:43:00,Adoption,,Cat,Intact,Female,2 months,Domestic Shorthair Mix,,,2014,10,3,Black,,
A674530,Jackson,2014-09-11 17:03:00,Adoption,,Dog,Neutered,Male,5 years,Pit Bull,,,2014,9,11,Black,,
A718604,Watson,2016-01-31 17:22:00,Adoption,,Dog,Neutered,Male,1 year,Pit Bull Mix,,,2016,1,31,White,Brown,
A686520,,2014-08-24 09:00:00,Transfer,SCRP,Cat,Intact,Male,3 months,Domestic Shorthair Mix,,,2014,8,24,Brown Tabby,,
A699094,Levon,2015-03-22 18:40:00,Return_to_owner,,Dog,Neutered,Male,2 years,Chihuahua Shorthair Mix,,,2015,3,22,Brown,White,
A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,,Dog,Spayed,Female,9 years,Labrador Retriever Mix,,,2015,1,25,Chocolate,White,
A662685,Lola,2015-10-22 17:18:00,Adoption,,Dog,Spayed,Female,3 years,Pit Bull Mix,,,2015,10,22,Red,White,
A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,,Cat,Spayed,Female,3 years,Domestic Shorthair Mix,,,2015,10,26,Calico,,
A707781,Pearl,2016-01-15 14:03:00,Adoption,,Dog,Spayed,Female,1 year,Chihuahua Shorthair,Jack Russell Terrier,,2016,1,15,Black,White,
A694699,Pebbles,2015-01-09 15:28:00,Transfer,Partner,Dog,Spayed,Female,2 years,Chihuahua Shorthair Mix,,,2015,1,9,Black,Tan,
A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,,Dog,Spayed,Female,1 year,Pit Bull,,,2015,12,15,Brown Brindle,,
A679102,Merlin,2014-06-10 16:41:00,Transfer,Partner,Cat,Neutered,Male,2 years,Siamese Mix,,,2014,6,10,Flame Point,,
A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,,Dog,Spayed,Female,2 years,Tibetan Terrier Mix,,,2015,5,16,Brown,,
A681481,,2014-06-18 09:00:00,Transfer,SCRP,Cat,Intact,Female,2 years,Domestic Shorthair Mix,,,2014,6,18,Blue,White,
A714177,,2015-10-20 09:00:00,Transfer,SCRP,Cat,Unknown,,3 months,Domestic Shorthair Mix,,,2015,10,20,Tortie,,
A689601,Abby,2014-11-23 18:55:00,Adoption,Foster,Dog,Spayed,Female,1 month,Miniature Pinscher,Chihuahua Shorthair,,2014,11,23,Tricolor,,
A685062,,2014-08-05 13:20:00,Adoption,,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2014,8,5,Orange Tabby,White,
A672453,,2014-02-16 19:38:00,Adoption,Offsite,Cat,Neutered,Male,10 months,Domestic Medium Hair Mix,,,2014,2,16,Cream Tabby,,
A719480,Ricky,2016-02-09 16:31:00,Transfer,Partner,Cat,Spayed,Female,2 years,Domestic Medium Hair Mix,,,2016,2,9,Brown Tabby,White,
A702880,Tom,2015-06-28 15:33:00,Adoption,,Cat,Spayed,Female,2 months,Domestic Medium Hair Mix,,,2015,6,28,Calico,,
A714494,Amarillo,2015-11-01 19:11:00,Adoption,,Dog,Neutered,Male,6 months,Labrador Retriever Mix,,,2015,11,1,Yellow,,
A711853,Nala,2015-11-07 19:14:00,Adoption,,Cat,Spayed,Female,2 months,Domestic Shorthair Mix,,,2015,11,7,Brown Tabby,,
A688720,,2014-09-26 18:09:00,Adoption,,Dog,Spayed,Female,1 year,Dachshund Mix,,,2014,9,26,Tan,,
A689690,Winnie,2014-10-22 14:37:00,Transfer,Partner,Dog,Intact,Female,6 months,Dachshund Mix,,,2014,10,22,Brown,White,
A679915,Luna,2014-06-01 17:48:00,Adoption,,Cat,Spayed,Female,1 year,Domestic Shorthair Mix,,,2014,6,1,Black,White,
A687991,,2014-09-12 18:38:00,Transfer,Partner,Cat,Intact,Male,3 weeks,Domestic Shorthair Mix,,,2014,9,12,Calico,,
A707896,Tokyo,2016-02-19 14:58:00,Adoption,Foster,Cat,Neutered,Male,2 years,Domestic Shorthair Mix,,,2016,2,19,Brown Tabby,,
A702014,Diamond,2015-11-14 13:30:00,Adoption,,Dog,Spayed,Female,11 months,Blue Lacy Mix,,,2015,11,14,Blue,White,
A673626,,2014-03-03 16:58:00,Transfer,Partner,Dog,Neutered,Male,3 months,Rat Terrier Mix,,,2014,3,3,Tricolor,,
A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,,Dog,Spayed,Female,2 years,Dachshund Longhair,,,2014,2,10,Brown,,
A685180,Neville,2014-09-27 12:25:00,Transfer,Partner,Dog,Neutered,Male,2 years,Pit Bull Mix,,,2014,9,27,Red,,
A707442,Conrad,2015-08-15 11:32:00,Adoption,,Dog,Neutered,Male,2 years,Pit Bull Mix,,,2015,8,15,Brown,White,
A682599,Shiva,2014-07-03 18:45:00,Adoption,,Cat,Spayed,Female,4 months,Domestic Longhair,,,2014,7,3,Calico,,
A685452,,2014-08-11 15:17:00,Transfer,Partner,Dog,Intact,Female,4 months,Dachshund,Chihuahua Shorthair,,2014,8,11,Red,,
A688067,,2014-09-15 09:00:00,Transfer,SCRP,Cat,Intact,Female,5 months,Domestic Shorthair Mix,,,2014,9,15,Torbie,,
A714069,Jupiter,2015-12-16 11:28:00,Adoption,Foster,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2015,12,16,Black Tabby,White,
A705924,Nero,2015-07-29 15:41:00,Transfer,Partner,Dog,Neutered,Male,7 years,Chihuahua Shorthair Mix,,,2015,7,29,Brown,White,
A717167,Oscar,2016-01-23 16:05:00,Adoption,Foster,Cat,Neutered,Male,4 years,Domestic Shorthair Mix,,,2016,1,23,Black,White,
A711639,,2015-09-10 11:35:00,Transfer,Partner,Cat,Intact,Female,3 weeks,Domestic Shorthair Mix,,,2015,9,10,Tortie,Calico,
A716760,Dasher,2015-12-06 17:08:00,Adoption,,Dog,Neutered,Male,6 months,Border Collie Mix,,,2015,12,6,Black,White,
A709048,Libby,2015-08-08 17:58:00,Adoption,,Dog,Intact,Female,5 months,Labrador Retriever Mix,,,2015,8,8,Black,White,
A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,,Dog,Spayed,Female,8 years,Maltese,,,2016,1,13,White,,
A707437,,2015-07-19 17:26:00,Adoption,,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2015,7,19,Black,,
A706387,Sugar,2015-07-06 18:05:00,Adoption,,Cat,Spayed,Female,1 month,Domestic Shorthair Mix,,,2015,7,6,Blue Tabby,White,
A720668,,2016-02-15 18:30:00,Return_to_owner,,Dog,Spayed,Female,5 months,Labrador Retriever Mix,,,2016,2,15,White,,
A679341,Jethro,2014-05-31 13:58:00,Transfer,Partner,Cat,Intact,Male,1 month,Domestic Shorthair Mix,,,2014,5,31,Brown Tabby,,
A690519,,2014-10-23 09:00:00,Transfer,SCRP,Cat,Intact,Male,4 months,Domestic Shorthair Mix,,,2014,10,23,Blue Tabby,,
A708769,Keyla,2015-08-01 11:54:00,Adoption,,Dog,Spayed,Female,1 year,Chihuahua Shorthair Mix,,,2015,8,1,White,Tan,
A681462,Samson,2014-08-10 16:25:00,Adoption,,Dog,Neutered,Male,2 years,Labrador Retriever,Rottweiler,,2014,8,10,Black,Brown,
A666444,August,2013-11-04 15:50:00,Transfer,Partner,Cat,Spayed,Female,11 years,Domestic Shorthair Mix,,,2013,11,4,Tortie,,
A701153,,2015-06-25 09:31:00,Adoption,Foster,Dog,Neutered,Male,2 months,Dachshund,Manchester Terrier,,2015,6,25,Tricolor,,
A710071,Herb,2015-09-01 00:00:00,Transfer,Partner,Cat,Neutered,Male,2 months,Domestic Shorthair Mix,,,2015,9,1,White,Black,
A714602,Stripey,2015-10-29 18:44:00,Adoption,,Cat,Intact,Female,2 months,Domestic Shorthair Mix,,,2015,10,29,Brown Tabby,,
A700707,Sallie,2015-04-20 14:41:00,Adoption,,Dog,Spayed,Female,1 month,Plott Hound,Labrador Retriever,,2015,4,20,Black,Brown Brindle,
A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,,Dog,Spayed,Female,7 years,Chihuahua Shorthair,Rat Terrier,,2015,5,25,White,Tan,
A679441,,2014-05-21 13:47:00,Transfer,Partner,Cat,Intact,Male,4 days,Domestic Shorthair Mix,,,2014,5,21,Cream Tabby,White,
A715729,Milo,2015-11-09 13:24:00,Return_to_owner,,Dog,Neutered,Male,4 years,Siberian Husky,,,2015,11,9,White,Gray,
A716575,Scarlet,2015-12-22 00:00:00,Transfer,Partner,Dog,Spayed,Female,2 years,Australian Cattle Dog Mix,,,2015,12,22,Tan,White,
A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,,Dog,Spayed,Female,1 year,Pointer Mix,,,2015,11,14,White,Black,
A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,,Dog,Neutered,Male,2 years,Pit Bull Mix,,,2015,12,9,Brown Brindle,White,
A687336,,2014-09-03 18:51:00,Transfer,Partner,Cat,Intact,Female,4 weeks,Domestic Medium Hair Mix,,,2014,9,3,Brown Tabby,,
A713364,Calypso,2015-11-13 11:53:00,Transfer,Partner,Cat,Intact,Female,1 year,Domestic Shorthair Mix,,,2015,11,13,Black,White,
A701999,Luna,2015-05-12 17:39:00,Adoption,,Dog,Spayed,Female,2 years,Yorkshire Terrier,Miniature Poodle,,2015,5,12,Tan,Silver,
